#force	 last_time	 alpha	 product
-0.2 1535.600000 24.994273 0.038381 
-0.2 1525.400000 21.242022 0.032403 
-0.2 1292.400000 16.634305 0.021498 
-0.2 972.800000 9.732359 0.009468 
-0.2 665.800000 5.727231 0.003813 
-0.2 1606.600000 27.055579 0.043467 
-0.2 1533.200000 23.042988 0.035330 
-0.2 1504.000000 20.263419 0.030476 
-0.2 1007.800000 10.763899 0.010848 
-0.2 1505.400000 23.269649 0.035030 
-0.2 1348.200000 18.849978 0.025414 
-0.2 811.200000 7.420691 0.006020 
-0.2 681.800000 6.687886 0.004560 
-0.2 1585.600000 26.396342 0.041854 
-0.2 305.200000 2.318230 0.000708 
-0.2 1282.800000 16.000212 0.020525 
-0.2 1286.400000 13.445873 0.017297 
-0.2 1643.400000 28.020441 0.046049 
-0.2 1062.600000 11.671319 0.012402 
-0.2 1712.200000 32.113651 0.054985 
