#force	 last_time	 alpha	 product
-1.1 623.600000 4.896775 0.003054 
-1.1 430.600000 3.093809 0.001332 
-1.1 558.000000 3.825298 0.002135 
-1.1 654.000000 5.656046 0.003699 
-1.1 471.200000 3.232165 0.001523 
-1.1 628.600000 4.764125 0.002995 
-1.1 518.800000 3.041122 0.001578 
-1.1 889.000000 7.246810 0.006442 
-1.1 489.800000 3.556127 0.001742 
-1.1 678.400000 4.427089 0.003003 
-1.1 501.000000 3.415291 0.001711 
-1.1 587.000000 4.152976 0.002438 
-1.1 462.400000 3.479271 0.001609 
-1.1 595.800000 3.745498 0.002232 
-1.1 447.200000 3.398134 0.001520 
-1.1 204.600000 1.699261 0.000348 
-1.1 570.600000 3.916839 0.002235 
-1.1 432.000000 2.916609 0.001260 
-1.1 270.200000 2.180832 0.000589 
-1.1 574.200000 3.986570 0.002289 
