#run	 escape_time
1	 0.018700
2	 0.011171
3	 0.005529
4	 0.015514
5	 0.014463
6	 0.004186
7	 0.000794
8	 0.003159
9	 0.009574
10	 0.022689
11	 0.000503
12	 0.005098
13	 0.002198
14	 0.007029
15	 0.011687
16	 0.005251
17	 0.000945
18	 0.006566
19	 0.004828
20	 0.015457
