#force	 last_time	 alpha	 product
-1.4 439.000000 3.067817 0.001347 
-1.4 203.200000 1.710079 0.000347 
-1.4 368.200000 2.426959 0.000894 
-1.4 240.400000 1.740375 0.000418 
-1.4 611.600000 3.684416 0.002253 
-1.4 133.600000 1.310359 0.000175 
-1.4 275.400000 2.022867 0.000557 
-1.4 481.000000 3.290491 0.001583 
-1.4 408.400000 2.909554 0.001188 
-1.4 203.800000 1.702067 0.000347 
-1.4 625.000000 4.500644 0.002813 
-1.4 349.000000 2.366289 0.000826 
-1.4 525.000000 3.873920 0.002034 
-1.4 602.600000 4.063283 0.002449 
-1.4 346.400000 2.397089 0.000830 
-1.4 116.800000 1.328410 0.000155 
-1.4 134.600000 1.475416 0.000199 
-1.4 183.200000 1.503170 0.000275 
-1.4 265.400000 2.042373 0.000542 
-1.4 256.600000 1.868840 0.000480 
