#run	 escape_time
1	 0.000461
2	 0.003183
3	 0.005372
4	 0.001950
5	 0.002005
6	 0.003685
7	 0.003008
8	 0.001704
9	 0.001575
10	 0.005380
11	 0.003149
12	 0.001949
13	 0.002442
14	 0.005381
15	 0.002001
16	 0.000684
17	 0.006378
18	 0.003015
19	 0.001875
20	 0.005494
