#force	 height
13.236481	 17.191661
12.574657	 17.398011
11.912833	 18.287549
11.251009	 18.502686
10.589185	 19.211986
9.927361	 20.361526
9.265537	 19.328974
8.603713	 19.993585
7.941889	 19.963682
7.280065	 19.756744
6.618241	 19.459595
5.956416	 20.077383
5.294592	 18.944448
4.632768	 18.804882
3.970944	 18.907498
3.309120	 17.877345
2.647296	 16.967054
1.985472	 17.176205
1.323648	 15.575962
0.661824	 15.290890
-0.000000	 16.955512
