#force pN 	 last_time fs 	 accelration factor 
-48.000000	 5058000.000000	 3159952.668568 
-48.000000	 3727000.000000	 540.034457 
-48.000000	 16605000.000000	 500311635.911200 
-48.000000	 5821000.000000	 89984.722545 
-48.000000	 7323000.000000	 11846.924845 
-48.000000	 6700000.000000	 40387.332389 
-48.000000	 6194000.000000	 2164344.131613 
-48.000000	 5925000.000000	 69659.015179 
-48.000000	 4739000.000000	 825.579144 
-48.000000	 4814000.000000	 84499.813584 
-48.000000	 5815000.000000	 168621.143266 
-48.000000	 14087000.000000	 280954123.014140 
-48.000000	 9417000.000000	 47908.855353 
-48.000000	 7342000.000000	 327491.177193 
-48.000000	 10074000.000000	 13102941.483245 
-48.000000	 7154000.000000	 2509010.163309 
-48.000000	 9569000.000000	 2272444.767951 
-48.000000	 4297000.000000	 403373.184816 
-48.000000	 5205000.000000	 120255.863511 
-48.000000	 9639000.000000	 225459725.599837 
