#force	 rates	 bars
72.000000	990.919052	242.6001769370498
69.000000	4297.434369	1088.3607977647985
66.000000	850.425443	209.8862918357059
63.000000	239.727542	60.24905151132861
60.000000	229.257366	56.89907498851847
57.000000	3315.553541	827.9656075025213
54.000000	2117.563494	521.1776532200288
51.000000	380.873840	93.84373497943851
48.000000	326.160034	80.19583104746083
45.000000	346.147493	85.84683009283694
42.000000	958.470522	239.86783846180032
39.000000	92.030866	23.260071886835302
36.000000	223.379636	56.17753315257545
33.000000	351.322674	86.33485408158586
30.000000	177.060905	43.81674194207969
27.000000	374.732005	92.48619534827522
24.000000	180.565016	44.52363130997108
21.000000	498.178942	123.45507586052567
18.000000	43.038631	10.564687805916126
15.000000	82.177208	20.130222755657353
12.000000	171.292439	42.996572061906086
9.000000	11.113197	2.7858837790496476
6.000000	117.366956	29.544437204922474
3.000000	37.335716	9.242793152610046
-0.000000	32.659477	8.222343846545458
