#force pN 	 last_time fs 	 accelration factor 
-30.000000	 8693000.000000	 1209999.316928 
-30.000000	 5585000.000000	 1331158.519614 
-30.000000	 8539000.000000	 13095649.347593 
-30.000000	 5514000.000000	 756252.892552 
-30.000000	 4773000.000000	 2154427.939207 
-30.000000	 6356000.000000	 85648.829416 
-30.000000	 4995000.000000	 181558.607041 
-30.000000	 4851000.000000	 438.812028 
-30.000000	 5871000.000000	 768.693930 
-30.000000	 14214000.000000	 6122570617.106495 
-30.000000	 7522000.000000	 9074246.661293 
-30.000000	 6053000.000000	 40403.255733 
-30.000000	 5776000.000000	 1271051.573838 
-30.000000	 11725000.000000	 32596683.598856 
-30.000000	 8307000.000000	 22126.128769 
-30.000000	 12410000.000000	 1168895.563754 
-30.000000	 5738000.000000	 14670.774090 
-30.000000	 9596000.000000	 129754.172355 
-30.000000	 13315000.000000	 5869775475.611661 
-30.000000	 4231000.000000	 6486.535874 
