#force	 p-value
72.000000	0.030645
69.000000	0.043134
66.000000	0.002395
63.000000	0.002120
60.000000	0.002911
57.000000	0.000347
54.000000	0.037020
51.000000	0.010757
48.000000	0.003197
45.000000	0.021720
42.000000	0.044914
39.000000	0.000332
36.000000	0.019696
33.000000	0.002119
30.000000	0.116171
27.000000	0.010759
24.000000	0.016197
21.000000	0.169316
18.000000	0.008027
15.000000	0.102347
12.000000	0.027841
9.000000	0.000532
6.000000	0.043067
3.000000	0.043067
-0.000000	0.026849
