#force pN 	 last_time fs 	 accelration factor 
-3.000000	 6910000.000000	 751717.704752 
-3.000000	 10702000.000000	 896242.728072 
-3.000000	 16693000.000000	 4532822670.089989 
-3.000000	 10138000.000000	 3922302.052638 
-3.000000	 15278000.000000	 44463784.036111 
-3.000000	 16334000.000000	 137392.049802 
-3.000000	 8623000.000000	 31760.982630 
-3.000000	 17206000.000000	 1637375016.934434 
-3.000000	 18833000.000000	 102969448.296746 
-3.000000	 8496000.000000	 176941.950653 
-3.000000	 14659000.000000	 3509794.379452 
-3.000000	 7964000.000000	 3924128.132842 
-3.000000	 12472000.000000	 916528.771170 
-3.000000	 6148000.000000	 55984.627268 
-3.000000	 11023000.000000	 2168509566.345585 
-3.000000	 7609000.000000	 124835.268846 
-3.000000	 9124000.000000	 29198.254916 
-3.000000	 18162000.000000	 214536782.590634 
-3.000000	 6438000.000000	 83455.008035 
-3.000000	 9087000.000000	 3745667.626097 
