#force pN 	 last_time fs 	 accelration factor 
-57.000000	 5753000.000000	 20085.794829 
-57.000000	 9918000.000000	 7567856.339811 
-57.000000	 12667000.000000	 131190544.117458 
-57.000000	 4669000.000000	 8908.258257 
-57.000000	 9022000.000000	 22514845.706365 
-57.000000	 2136000.000000	 250.514331 
-57.000000	 3579000.000000	 6031.822765 
-57.000000	 8118000.000000	 18910874.401242 
-57.000000	 6712000.000000	 1717.266330 
-57.000000	 7628000.000000	 16752643.517207 
-57.000000	 6573000.000000	 13285.189644 
-57.000000	 7601000.000000	 250195.381796 
-57.000000	 5020000.000000	 7341.474990 
-57.000000	 6684000.000000	 2260.492323 
-57.000000	 6508000.000000	 504225.509107 
-57.000000	 10628000.000000	 1936786862.972742 
-57.000000	 3568000.000000	 3185.418134 
-57.000000	 3905000.000000	 636.342599 
-57.000000	 5673000.000000	 1453.932163 
-57.000000	 7458000.000000	 1081864.732896 
