#force	 taus
72.000000	0.001009
69.000000	0.000233
66.000000	0.001169
63.000000	0.004134
60.000000	0.004292
57.000000	0.000299
54.000000	0.000468
51.000000	0.002613
48.000000	0.003027
45.000000	0.002852
42.000000	0.001043
39.000000	0.010767
36.000000	0.004415
33.000000	0.002812
30.000000	0.005614
27.000000	0.002645
24.000000	0.005523
21.000000	0.002007
18.000000	0.022887
15.000000	0.012077
12.000000	0.005790
9.000000	0.091199
6.000000	0.008373
3.000000	0.026499
-0.000000	0.030296
