#force pN 	 last_time fs 	 accelration factor 
-6.000000	 6777000.000000	 18922.630727 
-6.000000	 10635000.000000	 337431.999365 
-6.000000	 10476000.000000	 232370.564962 
-6.000000	 9906000.000000	 219760.618239 
-6.000000	 4085000.000000	 2357.341482 
-6.000000	 10439000.000000	 79822.445901 
-6.000000	 11366000.000000	 1907938.672470 
-6.000000	 14364000.000000	 17601854.648724 
-6.000000	 7773000.000000	 34601.387752 
-6.000000	 6348000.000000	 4603.077955 
-6.000000	 14582000.000000	 499276.612643 
-6.000000	 8266000.000000	 179591.112309 
-6.000000	 12548000.000000	 135965444.721124 
-6.000000	 7695000.000000	 8289.449094 
-6.000000	 14313000.000000	 16569645038.091185 
-6.000000	 9362000.000000	 54494460.374756 
-6.000000	 8072000.000000	 2345988.670532 
-6.000000	 8887000.000000	 800731.983782 
-6.000000	 11305000.000000	 59726506.358349 
-6.000000	 11640000.000000	 17033719.883332 
