#force pN 	 last_time fs 	 accelration factor 
-36.000000	 10104000.000000	 1768089.499980 
-36.000000	 7972000.000000	 21691.987743 
-36.000000	 6261000.000000	 161497.832541 
-36.000000	 14753000.000000	 495053192.804530 
-36.000000	 4306000.000000	 867.962911 
-36.000000	 5305000.000000	 438.350747 
-36.000000	 7209000.000000	 156012.290874 
-36.000000	 6204000.000000	 3465699.440629 
-36.000000	 7054000.000000	 610410.708256 
-36.000000	 5350000.000000	 26228.824017 
-36.000000	 4554000.000000	 60047.149226 
-36.000000	 10268000.000000	 570864.571993 
-36.000000	 6813000.000000	 2511820.017942 
-36.000000	 19355000.000000	 76945689396.180298 
-36.000000	 2944000.000000	 3238.940621 
-36.000000	 8406000.000000	 196998.041091 
-36.000000	 12336000.000000	 23800526252.253857 
-36.000000	 11752000.000000	 157103599.216909 
-36.000000	 5146000.000000	 5531.692995 
-36.000000	 7418000.000000	 1424442.296747 
