#force pN 	 last_time fs 	 accelration factor 
-15.000000	 9242000.000000	 3980688.593989 
-15.000000	 7215000.000000	 2575630.104007 
-15.000000	 9411000.000000	 53369.495552 
-15.000000	 6705000.000000	 1519193.204309 
-15.000000	 8768000.000000	 35160.679341 
-15.000000	 9738000.000000	 573947.668883 
-15.000000	 17440000.000000	 113897094.774655 
-15.000000	 7262000.000000	 21704.053196 
-15.000000	 6052000.000000	 79044.612070 
-15.000000	 5866000.000000	 345565.471196 
-15.000000	 10437000.000000	 78894.099136 
-15.000000	 11350000.000000	 2465125.738359 
-15.000000	 8809000.000000	 20783.251485 
-15.000000	 7286000.000000	 7533178.337557 
-15.000000	 8296000.000000	 382198.624420 
-15.000000	 10604000.000000	 3590531.665580 
-15.000000	 14869000.000000	 368334008.526613 
-15.000000	 11795000.000000	 132793.780011 
-15.000000	 13518000.000000	 1791738.139802 
-15.000000	 17287000.000000	 337990181.005572 
