#force pN 	 last_time fs 	 accelration factor 
-63.000000	 4906000.000000	 17569.494695 
-63.000000	 4529000.000000	 2645.397762 
-63.000000	 6455000.000000	 217802.880347 
-63.000000	 9922000.000000	 11611383.763334 
-63.000000	 4250000.000000	 1696.062933 
-63.000000	 7324000.000000	 16878411.238347 
-63.000000	 4665000.000000	 15850.595218 
-63.000000	 6713000.000000	 101428031.873920 
-63.000000	 3158000.000000	 1615.124656 
-63.000000	 6300000.000000	 12407857.381161 
-63.000000	 5704000.000000	 478294.186695 
-63.000000	 7805000.000000	 5979909.245298 
-63.000000	 7154000.000000	 973631.180220 
-63.000000	 6411000.000000	 20440.231706 
-63.000000	 7127000.000000	 180307.183813 
-63.000000	 8607000.000000	 102445123.914155 
-63.000000	 5659000.000000	 85731.897528 
-63.000000	 4748000.000000	 20841.415546 
-63.000000	 11299000.000000	 977351438.658581 
-63.000000	 8092000.000000	 142381549.143783 
