#force pN 	 last_time fs 	 accelration factor 
-9.000000	 4320000.000000	 771.435036 
-9.000000	 10796000.000000	 675270.973082 
-9.000000	 12569000.000000	 167123979.984585 
-9.000000	 9465000.000000	 153475.276846 
-9.000000	 17600000.000000	 4193254819.660765 
-9.000000	 14250000.000000	 532786.970117 
-9.000000	 10068000.000000	 134320195.851543 
-9.000000	 16738000.000000	 1039033538.126234 
-9.000000	 11614000.000000	 4205249.989969 
-9.000000	 6972000.000000	 404058.964856 
-9.000000	 13506000.000000	 4063049749.903932 
-9.000000	 14074000.000000	 3172573.532994 
-9.000000	 8695000.000000	 96178336.987414 
-9.000000	 20000000.000000	 10612851267.469969 
-9.000000	 3972000.000000	 4947.516611 
-9.000000	 10431000.000000	 38295159.130439 
-9.000000	 11904000.000000	 218688286.724133 
-9.000000	 8649000.000000	 367273.188834 
-9.000000	 12514000.000000	 117544.423391 
-9.000000	 5739000.000000	 3022.052429 
