#force pN 	 last_time fs 	 accelration factor 
-66.000000	 6816000.000000	 3701702.605798 
-66.000000	 14079000.000000	 27102327425.396172 
-66.000000	 5058000.000000	 7373.696253 
-66.000000	 7999000.000000	 8355576.047476 
-66.000000	 3725000.000000	 95277.961095 
-66.000000	 6903000.000000	 4629.230113 
-66.000000	 7667000.000000	 16440579.182871 
-66.000000	 3713000.000000	 7126.705366 
-66.000000	 4023000.000000	 285692.792347 
-66.000000	 4793000.000000	 109979.871365 
-66.000000	 7819000.000000	 21356.103908 
-66.000000	 4409000.000000	 494.288368 
-66.000000	 4180000.000000	 10124.928205 
-66.000000	 8493000.000000	 778834.529870 
-66.000000	 4365000.000000	 29418.645586 
-66.000000	 4845000.000000	 2161855.622642 
-66.000000	 4826000.000000	 149000.520803 
-66.000000	 4251000.000000	 6842.041741 
-66.000000	 7424000.000000	 40348261.128436 
-66.000000	 5900000.000000	 1413896.152145 
