#force pN 	 last_time fs 	 accelration factor 
-45.000000	 9224000.000000	 18617891.807959 
-45.000000	 16527000.000000	 44173948493.500679 
-45.000000	 5755000.000000	 20643.243740 
-45.000000	 5300000.000000	 3674820.321701 
-45.000000	 5447000.000000	 663636.460018 
-45.000000	 7553000.000000	 19227.518997 
-45.000000	 6358000.000000	 281422.188665 
-45.000000	 6032000.000000	 3634860.621574 
-45.000000	 7933000.000000	 1340008.676504 
-45.000000	 6591000.000000	 43386.009751 
-45.000000	 4823000.000000	 5739.333476 
-45.000000	 8081000.000000	 67916.361520 
-45.000000	 4586000.000000	 8023.543014 
-45.000000	 6599000.000000	 289087.337518 
-45.000000	 8800000.000000	 306601.346256 
-45.000000	 7480000.000000	 23519.651124 
-45.000000	 8124000.000000	 41913.069505 
-45.000000	 9772000.000000	 1205928.890034 
-45.000000	 10260000.000000	 270282786.996783 
-45.000000	 10172000.000000	 112170.862125 
