#force pN 	 last_time fs 	 accelration factor 
-27.000000	 6077000.000000	 21461.153183 
-27.000000	 7083000.000000	 2242.338789 
-27.000000	 4970000.000000	 1101.972469 
-27.000000	 5310000.000000	 51544.167540 
-27.000000	 5567000.000000	 4207.301409 
-27.000000	 4228000.000000	 3931.194539 
-27.000000	 12873000.000000	 96813016.758428 
-27.000000	 7937000.000000	 132664.117744 
-27.000000	 5373000.000000	 6938.449746 
-27.000000	 11262000.000000	 1091239683.249605 
-27.000000	 9974000.000000	 711262.488717 
-27.000000	 9342000.000000	 69922.790015 
-27.000000	 9977000.000000	 3583683.079236 
-27.000000	 6038000.000000	 4901782.856269 
-27.000000	 4610000.000000	 4296.699950 
-27.000000	 6365000.000000	 5489540.431105 
-27.000000	 10412000.000000	 37760060.740285 
-27.000000	 10620000.000000	 978384302.523744 
-27.000000	 8930000.000000	 664875.963884 
-27.000000	 4985000.000000	 369472.607667 
