#force pN 	 last_time fs 	 accelration factor 
-51.000000	 5030000.000000	 606277.713674 
-51.000000	 3627000.000000	 10226.871121 
-51.000000	 12078000.000000	 3696277.312131 
-51.000000	 7710000.000000	 812337.286372 
-51.000000	 5491000.000000	 65411.714532 
-51.000000	 5700000.000000	 244157.779868 
-51.000000	 3009000.000000	 213.103857 
-51.000000	 2956000.000000	 1959.400401 
-51.000000	 7209000.000000	 194171.716440 
-51.000000	 5336000.000000	 11908.388598 
-51.000000	 7352000.000000	 4288479.757965 
-51.000000	 6819000.000000	 126435.841516 
-51.000000	 7804000.000000	 81695.987853 
-51.000000	 13472000.000000	 109540792277.368683 
-51.000000	 14582000.000000	 5862994.249512 
-51.000000	 10674000.000000	 79077928721.689240 
-51.000000	 19546000.000000	 42784771739.769363 
-51.000000	 4208000.000000	 662.146920 
-51.000000	 5439000.000000	 1201.583688 
-51.000000	 7620000.000000	 12375010.968754 
